date,region,product,units,revenue,customer_age
2026-01-01,Delhi,A,12,2400,28
2026-01-02,Mumbai,B,7,1750,34
2026-01-03,Delhi,A,18,3600,31
2026-01-04,Bengaluru,C,4,800,42
2026-01-05,Mumbai,B,11,2750,29
2026-01-06,Delhi,C,5,1000,37
2026-01-07,Bengaluru,A,21,4200,26
2026-01-08,Mumbai,C,9,1800,45
2026-01-09,Delhi,B,13,3250,33
2026-01-10,Bengaluru,A,17,3400,30
2026-01-11,Mumbai,B,8,2000,
2026-01-12,Delhi,A,15,3000,27
2026-01-13,Bengaluru,C,6,1200,41
2026-01-14,Mumbai,B,10,2500,35
2026-01-15,Delhi,A,14,2800,32
